cycle,sum(ville collect each.S),sum(ville collect each.I),sum(ville collect each.Le),sum(ville collect each.Lf),sum(ville collect each.T),sum(ville collect each.K),sum(ville collect each.R1),sum(ville collect each.R2)
42,99182.43515196812,8.29101517039872,102.69082012212736,10.465392381165923,0.01358134522096055,0.00407440356628816,15.832127194919508,8.795626219399729
43,99181.16711054658,8.76576981846069,108.69356092736919,11.170979610765917,0.01441643429369731,0.00432493028810919,16.944574396967447,9.413652442759695
44,99179.39084676985,9.268762591011688,115.03339077565452,11.916360551908728,0.01529932149146728,0.00458979644744018,18.122044068437035,10.0678022602428
45,99177.07676520142,9.801738681001389,121.73032315250268,12.703771697439882,0.01623285533475898,0.00486985660042769,19.36812677058483,10.760070428102686
46,99174.19350554167,10.366560601887311,128.8055670195936,13.535584224261942,0.01722006098281528,0.00516601829484458,20.686616485636968,11.492564714242764
47,99170.70783151736,10.965217050208693,136.28160358117108,14.414312043699278,0.01826415217410942,0.00547924565223282,22.081521781252363,12.267512100695761
48,99166.58451223059,11.599832544629566,144.18226836212548,15.342620379216381,0.01936854407577026,0.00581056322273108,23.557077566582304,13.08726531476795
49,99161.78619539952,12.272677920101087,152.5328390084883,16.323334908592038,0.02053686712227828,0.00616106013668348,25.117757466076057,13.954309703375593
50,99156.27327187607,12.986181764785158,161.36012925601673,17.359451510587885,0.02177298193195342,0.00653189457958603,26.768286837402982,14.871270465223885
51,99150.00373077404,13.74294289750172,170.69258955061852,18.454146659340125,0.02308099539890051,0.00692429861967015,28.51365645986965,15.840920255483145
52,98154.93300448587,14.545743994862837,180.56041484582366,19.61078851316958,0.02446527806828339,0.00733958342048502,30.359136919451174,16.86618717747288
53,98147.09687697771,15.389511289320359,190.84527659543562,20.832343080303453,0.02593008824038004,0.00777902647211401,32.30959743313494,17.94977635174164
54,98138.37986828027,16.28450290549094,201.71839878465684,22.121934261029722,0.02747992285629605,0.00824397685688881,34.37013114614227,19.094517303412378
55,98128.7302704942,17.234056462535296,213.2147651401861,23.483486109432484,0.0291199596178525,0.00873598788535575,36.546803431771544,20.30377968431753
56,98118.09320480215,18.24175365297357,225.37153009374344,24.92115821388024,0.03085571533571327,0.00925671460071398,38.846013166808504,21.581118426004732
