cycle,first(list<ville>(ville) where (each.compte_ville = 4)).S,first(list<ville>(ville) where (each.compte_ville = 4)).I,first(list<ville>(ville) where (each.compte_ville = 4)).Le,first(list<ville>(ville) where (each.compte_ville = 4)).Lf,first(list<ville>(ville) where (each.compte_ville = 4)).T,first(list<ville>(ville) where (each.compte_ville = 4)).K,first(list<ville>(ville) where (each.compte_ville = 4)).R1,first(list<ville>(ville) where (each.compte_ville = 4)).R2
0,16667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16502.299881707793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16503.586528310996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16504.872889310358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16506.158964769274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16507.444754751126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16508.730259319284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16510.0154785371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,16511.30041246792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16512.585061175072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16513.869424721863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16515.153503171594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16516.43729658755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16517.720805032997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,16519.0040285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16520.28696726539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16521.569621178805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,16522.851990374656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16524.134074916143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,16525.415874866452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,16526.69739028876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,16527.978621246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,16529.25956780197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,16530.540230019153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,16531.82060796088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,16533.10070169025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,16534.380511270356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,16535.660036764268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,16536.939278235048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16538.218235745742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,16539.496909359383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,16540.77529913899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,16542.053405147566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,16543.3312274481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,16544.608766103567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,16545.886021176935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,16547.162992731148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,16548.43968082914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,16549.71608553383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,16550.99220690813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,16552.268045014927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,16553.543599917102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,16554.81887167752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,16556.093860359026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,16557.368566024463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,16558.64298873665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,16559.917128558398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,16561.1909855525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,16562.46455978174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,16563.73785130888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,16565.010860196675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,16566.283586507863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,16402.55603030517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,16403.815323079772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,16405.074336322406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,16406.333070095123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,16407.59152445996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,16408.849699478935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,16410.107595214056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,16411.36521172732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,16412.622549080705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,16413.87960733618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,16415.136386555696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,16416.392886801194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,16417.649108134596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,16418.905050617817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,16420.16071431275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,16421.416099281287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,16422.67120558529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,16423.92603328662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,16425.180582447123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,16426.434853128623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,16427.68884539294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,16428.942559301868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,16430.1959949172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,16431.449152300713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,16432.702031514164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,16513.9546326193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,16593.213194985266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,16594.477561306125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,16595.741646968814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,16597.005452035635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,16598.26897656887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,16599.532220630794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,16600.795184283663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,16602.05786758972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,16603.320270611195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,16604.582393410306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,16605.844236049255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,16607.10579859023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,16608.367081095406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,16609.628083626943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,16610.88880624699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,16612.14924901768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,16613.40941200113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,16614.66929525945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,16615.92889885473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,16617.18822284905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,16618.447267304473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,16619.706032283048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,16620.964517846816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,16622.222724057796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,16623.480650978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,16458.738298669425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,16459.98272063117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,16461.226866361903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,16462.47073592294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,16463.714329375583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,16464.957646781124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,16466.200688200835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,16467.44345369598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,16468.685943327808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,16469.928157157552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,16471.170095246434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,16472.411757655664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,16473.65314444643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,16474.89425567992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,16476.135091417294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,16477.37565171971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,16478.615936648308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,16479.85594626421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,16481.095680628536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,16482.335139802377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,16483.574323846824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,16484.813232822944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,16486.0518667918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,16487.290225814435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,16488.52830995188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,16568.76611926515,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129,16646.009426758512,0.00130257320655825,0.9772063999865855,0.00805448389235299,0.00000006488764031,0.00000001946629209,0.00893736196934493,0.00496520109408051
130,16647.256980348095,0.00263289605596833,0.9562674683428583,0.01581111491825493,0.00000026122723646,0.00000007836817094,0.01775894294109066,0.00986607941171704
131,16648.502823446786,0.00399410082170581,0.937166313197164,0.02328936538096003,0.00000059178579762,0.00000017753573929,0.02647905461311904,0.01471058589617725
132,16649.74692151285,0.00538959718896515,0.9198926675305229,0.03050830345289219,0.00000105965097056,0.00000031789529117,0.0351120812159058,0.01950671178661434
133,16650.98923630053,0.0068229303599974,0.904439992441866,0.03748664547397006,0.00000166825398568,0.0000005004761957,0.04367252935880503,0.02426251631044724
134,16652.229725710116,0.00829779104377401,0.8908055314034783,0.04424279177544384,0.00000242138326564,0.00000072641497969,0.05217506003664062,0.02898614446480034
135,16653.468343627093,0.00981802593974171,0.8789903735379597,0.05079486245014389,0.00000332319903972,0.00000099695971191,0.06063452157129945,0.03368584531738858
136,16654.70503974983,0.01138764874720819,0.8689995262195749,0.05716073314467267,0.00000437824901358,0.00000131347470407,0.06906598357496965,0.03836999087498314
137,16655.93975940521,0.01301085173361635,0.8608419973283751,0.06335807095052044,0.00000559148514743,0.00000167744554423,0.07748477202545494,0.04304709556969719
138,16657.172443351592,0.01469201789678792,0.8545308875121784,0.06940437047272545,0.00000696828159854,0.00000209048447956,0.0859065055480451,0.04772583641558061
139,16658.403027568478,0.01643573375815133,0.8500834928394587,0.07531699015653796,0.00000851445388813,0.00000255433616644,0.09434713300274877,0.05241507389041598
140,16659.63144303215,0.01824680282601949,0.8475214182555071,0.08111318895459177,0.00001023627935582,0.00000307088380675,0.10282297248030982,0.05712387360017213
141,16660.857615476565,0.02013025977015834,0.846870702284983,0.08681016341934585,0.0000121405189693,0.00000364215569079,0.11135075181535053,0.06186152878630585
142,16662.08146513871,0.02209138535119367,0.8481619534562549,0.09242508530804157,0.00001423444056052,0.00000427033216816,0.1199476507302285,0.06663758373901583
143,16663.3029064876,0.02413572215084827,0.851430498956846,0.09797513979013313,0.00001652584356452,0.00000495775306936,0.12863134472877277,0.07146185818265154
144,16664.521847936016,0.02626909115159537,0.8567165460649491,0.10347756435011123,0.00001902308534135,0.00000570692560241,0.1374200508650101,0.07634447270278338
145,16665.738191534092,0.02849760921706132,0.864065356939475,0.10894968848184743,0.00002173510916657,0.00000652053274997,0.1463325755183015,0.08129587528794527
146,16666.951832643692,0.03082770752742504,0.8735274373905536,0.11440897427406696,0.00002467147398095,0.00000740144219428,0.15538836431302533,0.08632686906279184
