cycle,first(list<ville>(ville) where (each.compte_ville = 3)).S,first(list<ville>(ville) where (each.compte_ville = 3)).I,first(list<ville>(ville) where (each.compte_ville = 3)).Le,first(list<ville>(ville) where (each.compte_ville = 3)).Lf,first(list<ville>(ville) where (each.compte_ville = 3)).T,first(list<ville>(ville) where (each.compte_ville = 3)).K,first(list<ville>(ville) where (each.compte_ville = 3)).R1,first(list<ville>(ville) where (each.compte_ville = 3)).R2
0,16667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16502.299881707793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16503.586528310996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16504.872889310358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16506.158964769274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16507.444754751126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16508.730259319284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16510.0154785371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,16511.30041246792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16512.585061175072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16513.869424721863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16515.153503171594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16516.43729658755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16517.720805032997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,16519.0040285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16520.28696726539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16521.569621178805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,16522.851990374656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16524.134074916143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,16525.415874866452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,16526.69739028876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,16527.978621246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,16529.25956780197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,16530.540230019153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,16531.82060796088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,16533.10070169025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,16534.380511270356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,16535.660036764268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,16536.939278235048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16538.218235745742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,16539.496909359383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,16540.77529913899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,16542.053405147566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,16543.3312274481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,16544.608766103567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,16545.886021176935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,16547.162992731148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,16548.43968082914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,16549.71608553383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,16550.99220690813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,16552.268045014927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,16553.543599917102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,16554.81887167752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,16556.093860359026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,16557.368566024463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,16558.64298873665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,16559.917128558398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,16561.1909855525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,16562.46455978174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,16563.73785130888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,16565.010860196675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,16566.283586507863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,16402.55603030517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,16403.815323079772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,16405.074336322406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,16406.333070095123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,16407.59152445996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,16408.849699478935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,16410.107595214056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,16411.36521172732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,16412.622549080705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,16413.87960733618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,16415.136386555696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,16416.392886801194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,16417.649108134596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,16418.905050617817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,16420.16071431275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,16421.416099281287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,16422.67120558529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,16423.92603328662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,16425.180582447123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,16426.434853128623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,16427.68884539294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,16428.942559301868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,16430.1959949172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,16431.449152300713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,16432.702031514164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,16524.9546326193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,16610.214052890038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,16611.47974487329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,16612.745155904107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,16614.010286044857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,16615.275135357886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,16616.539703905535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,16617.803991750126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,16619.067998953968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,16620.331725579355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,16621.59517168857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,16622.858337343878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,16624.121222607537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,16625.383827541784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,16626.646152208847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,16627.90819667094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,16629.169960990257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,16630.431445228987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,16631.6926494493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,16632.95357371335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,16634.21421808328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,16635.474582621227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,16636.7346673893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,16637.994472449605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,16639.253997864227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,16640.51324369524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,16475.77221000471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,16477.0179502918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,16478.263414055244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,16479.508601356418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,16480.753512256695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,16481.998146817426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,16483.24250509995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,16484.4865871656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,16485.730393075686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,16486.973922891506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,16488.21717667435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,16489.460154485485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,16490.702856386175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,16491.945282437664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,16493.187432701183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,16494.429307237948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,16495.670906109168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,16496.91222937603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,16498.153277099715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,16499.394049341383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,16500.634546162186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,16501.874767623263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,16503.114713785733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,16504.35438471071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,16505.593780459287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,16600.832901092544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,16684.07907785776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,16685.33137329254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,16686.58339074859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,16687.835130287614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,16689.086591971303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,16690.337775861335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,16691.588682019374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,16692.839310507068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,16694.089661386053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,16695.339734717953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,16696.58953056437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,16697.83904898691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,16699.088290047144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,16700.337253806647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,16701.58594032697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,16702.834349669654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,16704.082481896225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,16705.330337068193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,16706.577915247064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,16707.82521649432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,16709.07224087143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,16710.318988439853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,16711.565459261037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,16712.811653396413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,16714.0575709074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,16548.303211855397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,16549.535551747576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,16550.767618090664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,16551.99941094538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,16553.230930372436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,16554.462176432524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,16555.693149186325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,16556.923848694507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,16558.15427501772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,16559.38442821661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
