cycle,first(list<ville>(ville) where (each.compte_ville = 5)).S,first(list<ville>(ville) where (each.compte_ville = 5)).I,first(list<ville>(ville) where (each.compte_ville = 5)).Le,first(list<ville>(ville) where (each.compte_ville = 5)).Lf,first(list<ville>(ville) where (each.compte_ville = 5)).T,first(list<ville>(ville) where (each.compte_ville = 5)).K,first(list<ville>(ville) where (each.compte_ville = 5)).R1,first(list<ville>(ville) where (each.compte_ville = 5)).R2
0,16667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16502.299881707793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16503.586528310996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16504.872889310358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16506.158964769274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16507.444754751126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16508.730259319284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16510.0154785371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,16511.30041246792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16512.585061175072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16513.869424721863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16515.153503171594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16516.43729658755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16517.720805032997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,16519.0040285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16520.28696726539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16521.569621178805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,16522.851990374656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16524.134074916143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,16525.415874866452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,16526.69739028876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,16527.978621246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,16529.25956780197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,16530.540230019153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,16531.82060796088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,16533.10070169025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,16534.380511270356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,16535.660036764268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,16536.939278235048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16538.218235745742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,16539.496909359383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,16540.77529913899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,16542.053405147566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,16543.3312274481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,16544.608766103567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,16545.886021176935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,16547.162992731148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,16548.43968082914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,16549.71608553383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,16550.99220690813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,16552.268045014927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,16553.543599917102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,16554.81887167752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,16556.093860359026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,16557.368566024463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,16558.64298873665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,16559.917128558398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,16561.1909855525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,16562.46455978174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,16563.73785130888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,16565.010860196675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,16566.283586507863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,16402.55603030517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,16403.815323079772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,16405.074336322406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,16406.333070095123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,16407.59152445996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,16408.849699478935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,16410.107595214056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,16411.36521172732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,16412.622549080705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,16413.87960733618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,16415.136386555696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,16416.392886801194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,16417.649108134596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,16418.905050617817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,16420.16071431275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,16421.416099281287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,16422.67120558529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,16423.92603328662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,16425.180582447123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,16426.434853128623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,16427.68884539294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,16428.942559301868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,16430.1959949172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,16431.449152300713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,16432.702031514164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,16516.9546326193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,16596.213428959298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,16597.478029202248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,16598.742348735104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,16600.00638762018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,16601.270145919767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,16602.533623696152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,16603.7968210116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,16605.05973792837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,16606.322374508705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,16607.58473081483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,16608.846806908958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,16610.10860285329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,16611.370118710016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,16612.631354541307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,16613.89231040932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,16615.152986376197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,16616.413382504074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,16617.673498855067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,16618.93333549128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,16620.192892474803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,16621.45216986771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,16622.711167732064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,16623.969886129915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,16625.2283251233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,16626.486484774232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,16461.744365144725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,16462.98901973389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,16464.233398040407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,16465.477500125602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,16466.72132605079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,16467.964875877267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,16469.208149666327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,16470.451147479238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,16471.693869377264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,16472.936315421648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,16474.178485673623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,16475.42038019441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,16476.661999045216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,16477.90334228723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,16479.144409981633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,16480.385202189587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,16481.625718972242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,16482.86596039074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,16484.105926506203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,16485.34561737974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,16486.58503307245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,16487.824173645415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,16489.063039159704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,16490.301629676378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,16491.539945256474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,16575.777985961024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,16663.02222513248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,16664.27289536897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,16665.523287987482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,16666.773403049643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,16668.02324061706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,16669.272800751336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,16670.522083514054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,16671.77108896678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,16673.01981717107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,16674.268268188465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,16675.516442080498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,16676.764338908684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,16678.01195873452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,16679.2593016195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,16680.50636762509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,16681.753156812756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,16682.999669243945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,16684.24590498009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,16685.491864082607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,16686.737546612905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,16687.982952632374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,16689.228082202393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,16690.47293538433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,16691.71751223953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,16692.961812829337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,16528.20583721507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,16529.436638895168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,16530.667167367617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,16531.89742269307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,16533.12740493215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,16534.35711414548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,16535.58655039367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,16536.815713737302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,16538.04460423696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,16539.273221953204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
