cycle,first(list<ville>(ville) where (each.compte_ville = 2)).S,first(list<ville>(ville) where (each.compte_ville = 2)).I,first(list<ville>(ville) where (each.compte_ville = 2)).Le,first(list<ville>(ville) where (each.compte_ville = 2)).Lf,first(list<ville>(ville) where (each.compte_ville = 2)).T,first(list<ville>(ville) where (each.compte_ville = 2)).K,first(list<ville>(ville) where (each.compte_ville = 2)).R1,first(list<ville>(ville) where (each.compte_ville = 2)).R2
0,16667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16502.299881707793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16503.586528310996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16504.872889310358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16506.158964769274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16507.444754751126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16508.730259319284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16510.0154785371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,16511.30041246792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16512.585061175072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16513.869424721863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16515.153503171594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16516.43729658755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16517.720805032997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,16519.0040285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16520.28696726539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16521.569621178805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,16522.851990374656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16524.134074916143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,16525.415874866452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,16526.69739028876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,16527.978621246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,16529.25956780197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,16530.540230019153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,16531.82060796088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,16533.10070169025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,16534.380511270356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,16535.660036764268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,16536.939278235048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16538.218235745742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,16539.496909359383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,16540.77529913899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,16542.053405147566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,16543.3312274481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,16544.608766103567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,16545.886021176935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,16547.162992731148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,16548.43968082914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,16549.71608553383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,16550.99220690813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,16552.268045014927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,16553.543599917102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,16554.81887167752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,16556.093860359026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,16557.368566024463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,16558.64298873665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,16559.917128558398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,16561.1909855525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,16562.46455978174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,16563.73785130888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,16565.010860196675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,16566.283586507863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,16402.55603030517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,16403.815323079772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,16405.074336322406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,16406.333070095123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,16407.59152445996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,16408.849699478935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,16410.107595214056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,16411.36521172732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,16412.622549080705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,16413.87960733618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,16415.136386555696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,16416.392886801194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,16417.649108134596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,16418.905050617817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,16420.16071431275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,16421.416099281287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,16422.67120558529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,16423.92603328662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,16425.180582447123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,16426.434853128623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,16427.68884539294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,16428.942559301868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,16430.1959949172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,16431.449152300713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,16432.702031514164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,16433.9546326193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,16501.20695567786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,16584.464148180166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,16585.727456906814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,16586.99048521005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,16588.25323315213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,16589.515700795277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,16590.777888201716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,16592.039795433648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,16593.301422553268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,16594.562769622757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,16595.823836704276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,16597.084623859977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,16598.345131151993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,16599.60535864245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,16600.865306393454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,16602.124974467104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,16603.38436292548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,16604.643471830652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,16605.90230124467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,16607.16085122958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,16608.4191218474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,16609.67711316015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,16610.934825229822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,16612.192258118408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,16613.449411887876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,16448.70628660018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,16449.94993575439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,16451.19330884913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,16452.436405945682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,16453.67922710531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,16454.92177238926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,16456.164041858778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,16457.40603557508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,16458.647753599384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,16459.88919599288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,16461.130362816755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,16462.371254132177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,16463.611870000303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,16464.852210482273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,16466.09227563922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,16467.33206553226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,16468.57158022249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,16469.810819771003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,16471.04978423887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,16472.288473687153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,16473.5268881769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,16474.765027769146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,16476.00289252491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,16477.2404825052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,16478.477797771007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,16479.714838383312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,16561.951604403082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,16643.194413190024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,16644.443185411452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,16645.691680436215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,16646.939898325847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,16648.18783914186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,16649.435502945766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,16650.68288979905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,16651.929999763186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,16653.17683289964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,16654.42338926986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,16655.669668935283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,16656.915671957326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,16658.1613983974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,16659.4068483169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,16660.652021777205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,16661.896918839684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,16663.141539565688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,16664.38588401656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,16665.629952253625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,16666.873744338194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,16668.117260331568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,16669.36050029503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,16670.60346428986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,16671.846152377304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,16507.088564618614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,16508.317754512143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,16509.546671555803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,16510.77531581016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,16512.003687335764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,16513.23178619316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,16514.459612442868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,16515.687166145402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,16516.91444736126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,16518.141456150934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
