cycle,first(list<ville>(ville) where (each.compte_ville = 2)).S,first(list<ville>(ville) where (each.compte_ville = 2)).I,first(list<ville>(ville) where (each.compte_ville = 2)).Le,first(list<ville>(ville) where (each.compte_ville = 2)).Lf,first(list<ville>(ville) where (each.compte_ville = 2)).T,first(list<ville>(ville) where (each.compte_ville = 2)).K,first(list<ville>(ville) where (each.compte_ville = 2)).R1,first(list<ville>(ville) where (each.compte_ville = 2)).R2
0,16667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16502.299881707793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16503.586528310996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16504.872889310358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16506.158964769274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16507.444754751126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16508.730259319284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16510.0154785371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,16511.30041246792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16512.585061175072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16513.869424721863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16515.153503171594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16516.43729658755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16517.720805032997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,16519.0040285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16520.28696726539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16521.569621178805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,16522.851990374656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16524.134074916143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,16525.415874866452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,16526.69739028876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,16527.978621246217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,16529.25956780197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,16530.540230019153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,16531.82060796088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,16533.10070169025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,16534.380511270356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,16535.660036764268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,16536.939278235048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16538.218235745742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,16539.496909359383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,16540.77529913899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,16542.053405147566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,16543.3312274481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,16544.608766103567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,16545.886021176935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,16547.162992731148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,16548.43968082914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,16549.71608553383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,16550.99220690813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,16552.268045014927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,16553.543599917102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,16554.81887167752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,16556.093860359026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,16557.368566024463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,16558.64298873665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,16559.917128558398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,16561.1909855525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,16562.46455978174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,16563.73785130888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,16565.010860196675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,16566.283586507863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,16402.55603030517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,16403.815323079772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,16405.074336322406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,16406.333070095123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,16407.59152445996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,16408.849699478935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,16410.107595214056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,16411.36521172732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,16412.622549080705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,16413.87960733618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,16415.136386555696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,16416.392886801194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,16417.649108134596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,16418.905050617817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,16420.16071431275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,16421.416099281287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,16422.67120558529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,16423.92603328662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,16425.180582447123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,16426.434853128623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,16427.68884539294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,16428.942559301868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,16430.1959949172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,16431.449152300713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,16432.702031514164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,16433.9546326193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,16524.20695567786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,16617.46594198105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,16618.731824023824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,16619.997425071975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,16621.26274518788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,16622.527784433896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,16623.792542872372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,16625.057020565637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,16626.321217576013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,16627.5851339658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,16628.848769797292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,16630.112125132768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,16631.375200034487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,16632.6379945647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,16633.900508785642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,16635.162742759538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,16636.42469654859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,16637.686370214997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,16638.94776382094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,16640.20887742858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,16641.469711100075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,16642.730264897564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,16643.99053888317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,16645.250533119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,16646.51024766716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,16481.76968258973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,16483.0158913859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,16484.261823554425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,16485.50747915671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,16486.75285825414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,16487.997960908102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,16489.242787179952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,16490.487337131042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,16491.73161082271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,16492.975608316276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,16494.21932967305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,16495.462774954332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,16496.705944221398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,16497.948837535518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,16499.19145495795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,16500.43379654993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,16501.67586237269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,16502.91765248744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,16504.15916695538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,16505.400405837703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,16506.64136919558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,16507.882057090166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,16509.12246958261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,16510.362606734045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,16511.60246860559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,16512.84205525835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,16588.081366753417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,16676.326174511225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,16677.57749119919,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,16678.828530125684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,16680.079291352362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,16681.329774940867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,16682.57998095283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,16683.82990944986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,16685.079560493567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,16686.32893414553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,16687.578030467328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,16688.82684952052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,16690.075391366652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,16691.32365606726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,16692.571643683863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,16693.819354277966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,16695.06678791106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,16696.313944644622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,16697.56082454012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,16698.807427659005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,16700.053754062716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,16701.299803812675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,16702.545576970293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,16703.791073596964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,16705.036293754074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,16539.28123750299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,16540.51288035085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,16541.744249804346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,16542.975345924162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,16544.206168770976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,16545.436718405446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,16546.66699488822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,16547.896998279924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,16549.126728641186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,16550.356186032608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
